B-PER, E-PER, B-ORG, E-ORG, Text
Nguyễn Văn An, CEO, ABC, , "B-PER Nguyễn Văn An E-PER là CEO của công ty B-ORG ABC E-ORG."
, , XYZ, , "Công ty TNHH B-ORG XYZ E-ORG được thành lập vào năm 2000."
Trần Thị Bích, , DEF, , "B-PER Trần Thị Bích E-PER là nhân viên kế toán của công ty B-ORG DEF E-ORG."
Lê Văn Cảnh, Chủ tịch HĐQT, GHI, , "Ông B-PER Lê Văn Cảnh E-PER là chủ tịch HĐQT của tập đoàn B-ORG GHI E-ORG."
Hoàng Văn Đỗ, , JKL, , "B-PER Hoàng Văn Đỗ E-PER là nhân viên kinh doanh của công ty B-ORG JKL E-ORG."
MNO, , PQR, , "Tập đoàn B-ORG MNO E-ORG đã mua lại công ty B-ORG PQR E-ORG với giá 200 tỷ đồng."
Nguyễn Thị Mai, Giám đốc kinh doanh, STU, , "B-PER Nguyễn Thị Mai E-PER là giám đốc kinh doanh của công ty B-ORG STU E-ORG."
, , VWX, , "Công ty B-ORG VWX E-ORG đã chi trả 5 triệu USD để đóng cửa vụ kiện vi phạm bản quyền."
Trần Văn Đức, Trưởng phòng kỹ thuật, YZ, , "B-PER Trần Văn Đức E-PER là trưởng phòng kỹ thuật của công ty B-ORG YZ E-ORG."
ABC, , , , "Tập đoàn B-ORG ABC E-ORG sắp mở rộng hoạt động sang thị trường châu Á."
Phạm Thị Giang, Nhân viên tài chính, DEF, , "B-PER Phạm Thị Giang E-PER là nhân viên tài chính của công ty B-ORG DEF E-ORG."
HIJ, , , , "Công ty TNHH B-ORG HIJ E-ORG đã giành được hợp đồng mới trị giá 10 tỷ đồng."
KLM, , , , "Tập đoàn B-ORG KLM E-ORG đang xem xét đầu tư vào dự án năng lượng sạch."
Nguyễn Văn Hiệp, Giám đốc sản xuất, NOP, , "B-PER Nguyễn Văn Hiệp E-PER là giám đốc sản xuất của công ty B-ORG NOP E-ORG."
Lê Thanh, Thành viên HĐQT, QRS, , "Ông B-PER Lê Thanh E-PER là thành viên HĐQT của tập đoàn B-ORG QRS E-ORG."
, , TUV, , "Công ty B-ORG TUV E-ORG sẽ tổ chức buổi gặp mặt khách hàng vào ngày 20/7."
Trần Thị Mai, Nhân viên bán hàng, WXY, , "B-PER Trần Thị Mai E-PER là nhân viên bán hàng của công ty B-ORG WXY E-ORG."
ZAB, , , , "Tập đoàn B-ORG ZAB E-ORG đang phát triển một sản phẩm mới trên thị trường."
Phạm Văn Kiên, Giám đốc điều hành, CDE, , "B-PER Phạm Văn Kiên E-PER là giám đốc điều hành của công ty B-ORG CDE E-ORG."
EFG, , , , "Công ty TNHH B-ORG EFG E-ORG vừa ra mắt sản phẩm mới."
Nguyễn Thị Liên, Nhân viên marketing, HIJ, , "B-PER Nguyễn Thị Liên E-PER là nhân viên marketing củacông ty B-ORG HIJ E-ORG."